year,scenario,tas
2027,ssp585,288.6561455650581
2028,ssp585,288.752219803543
2029,ssp585,288.78680869880924
2030,ssp585,288.7146485492877
2031,ssp585,288.8607478984604
2032,ssp585,289.1549866110344
2033,ssp585,289.155622660079
2034,ssp585,289.02651168279596
2035,ssp585,289.2374449985327
2036,ssp585,289.05479449974854
2037,ssp585,288.99496209872603
2038,ssp585,289.15555024364375
2039,ssp585,289.11019705731024
2040,ssp585,289.2941697746686
2041,ssp585,289.4842897664142
2042,ssp585,289.4684798225905
2043,ssp585,289.21398240276494
2044,ssp585,289.37554285675554
2045,ssp585,289.6918260027514
2046,ssp585,289.538873206902
2047,ssp585,289.674024098264
2048,ssp585,289.68305670175386
2049,ssp585,289.8573563317869
2050,ssp585,290.03052799374854
2051,ssp585,289.7628794665123
2052,ssp585,289.9663238416911
2053,ssp585,290.0843615264368
2054,ssp585,290.024794490155
2055,ssp585,290.0582351329708
2056,ssp585,290.2490473829254
2057,ssp585,290.19090387451166
2058,ssp585,290.3062287459782
2059,ssp585,290.36752588407046
2060,ssp585,290.45273247086806
2061,ssp585,290.53804968555994
2062,ssp585,290.4965978012591
2063,ssp585,290.6635137106795
2064,ssp585,290.61072067878507
2065,ssp585,290.75953036825484
2066,ssp585,290.8743047704524
2067,ssp585,290.92520170962223
2068,ssp585,290.8636361958617
2069,ssp585,290.8364492186407
2070,ssp585,291.0788257652214
2071,ssp585,291.120912173697
2072,ssp585,291.1854945931571
2073,ssp585,291.2958577234291
2074,ssp585,291.40638774712085
2075,ssp585,291.19082268779135
2076,ssp585,291.42860422673306
2077,ssp585,291.46294812323964
2078,ssp585,291.59674129770127
2079,ssp585,291.6489643176911
2080,ssp585,291.84129239670375
2081,ssp585,291.6973240859165
2082,ssp585,291.8889806500543
2083,ssp585,292.0604726612177
2084,ssp585,292.14707755748253
2085,ssp585,292.2372790603977
2086,ssp585,292.31123043217116
2087,ssp585,292.3620580854001
2088,ssp585,292.3952992563566
2089,ssp585,292.5425691070937
2090,ssp585,292.6055900935343
2091,ssp585,292.61738038257187
2092,ssp585,292.6765006306168
2093,ssp585,292.85572103130795
2094,ssp585,292.89316867919024
2095,ssp585,293.0320430840144
2096,ssp585,292.9518272028338
2097,ssp585,293.3178874875844
2098,ssp585,293.20112008040564
2099,ssp585,293.256632839764
2100,ssp585,293.471329752575
