scenario,year,mean,low,high
historical,1883,287.11899776424326,286.7778044353628,287.7036189761409
historical,1884,286.8166078165727,286.50238585680785,287.4319353142267
historical,1885,286.8560156923745,286.5777958778904,287.39199276266163
historical,1886,286.9785476886238,286.58412980351284,287.590429212656
historical,1887,286.99572295614456,286.71370503104964,287.5341516273175
historical,1888,287.0520495679116,286.7557385508422,287.60311310713706
historical,1889,287.13956492766494,286.7944908517059,287.6723621245351
historical,1890,287.16183658525637,286.84914960368434,287.73935087352896
historical,1891,287.07250234366035,286.80853251713097,287.59362116595395
historical,1892,287.0246660207049,286.6574694720285,287.56521231296466
historical,1893,287.07522215162624,286.80160364387024,287.59628446663027
historical,1894,287.1169063515517,286.88578363650663,287.563651606713
historical,1895,287.15544280351696,286.84025188107603,287.7045267881281
historical,1896,287.17561062952564,286.9163666564927,287.6419997737135
historical,1897,287.2298547866124,286.9826731281408,287.6823426304534
historical,1898,287.2728306310921,286.9080603185101,287.8295612827563
historical,1899,287.2341437067175,286.9354963698212,287.7501711833741
historical,1900,287.2522067342188,286.9581539170783,287.7785497431367
historical,1901,287.2311046830973,286.96618238295423,287.6894925345752
historical,1902,287.1900925702866,286.99432825072347,287.54124015093265
historical,1903,287.0496666572481,286.79704275028917,287.5356729445272
historical,1904,287.055868210098,286.8033129113767,287.52162339853015
historical,1905,287.0260632970563,286.7525174278117,287.48914342509426
historical,1906,287.11771463927926,286.79637464565025,287.6368604318352
historical,1907,287.115770232801,286.7810139515828,287.6531475524285
historical,1908,287.13952119806845,286.82892533010977,287.7185668422441
historical,1909,287.07566572856376,286.7482101439571,287.6410704733923
historical,1910,287.2403123760657,286.94202115882194,287.7541156163556
historical,1911,287.2805522374942,286.91015599778086,287.8897068760986
historical,1912,287.013244452759,286.6674874141931,287.7046083203501
historical,1913,286.99174348821913,286.62485636688615,287.6080513101126
historical,1914,286.9895789754284,286.4897984359338,287.73437362147087
historical,1915,287.12598069871393,286.67964840314795,287.8647969230355
historical,1916,287.23010790633367,286.89036336485054,287.8819668782889
historical,1917,287.06782693375357,286.61155612460726,287.72427901785017
historical,1918,287.171207471919,286.8390042310481,287.7288321157684
historical,1919,287.13149758965903,286.81424620228603,287.5686403972035
historical,1920,287.12597632193314,286.75687796134577,287.5887051401888
historical,1921,287.1931671447426,286.7492813389952,287.71763811633457
historical,1922,287.0478611642622,286.6561537390126,287.55652294184057
historical,1923,287.1540000224325,286.83465589226637,287.5777545544651
historical,1924,287.29012131695237,286.8795038105255,287.7093990492562
historical,1925,287.3083253371158,286.9252890520525,287.7928240208607
historical,1926,287.1982463648674,286.8327612426098,287.79966481921196
historical,1927,287.25083570704095,286.959582400392,287.79377151658576
historical,1928,287.1953764253987,286.9484442931015,287.65816253676803
historical,1929,287.22948175455764,287.03803638236155,287.6023948813031
historical,1930,287.26015314135793,286.9383021868718,287.7509156113627
historical,1931,287.2404562210372,286.85580661737276,287.7467594092733
historical,1932,287.27985848671034,287.0155098901658,287.77528686753277
historical,1933,287.2226985925726,287.01649195581155,287.57937622755065
historical,1934,287.36998771017204,287.1318323930282,287.69770954760367
historical,1935,287.34557817973797,287.16160438102463,287.70357090374256
historical,1936,287.31821728640114,287.09739441517826,287.66728115218694
historical,1937,287.27888157943926,286.9975209143692,287.8022892358795
historical,1938,287.3137852341999,287.0552201507676,287.7073838684716
historical,1939,287.3049941351828,287.06944336876165,287.73119666661177
historical,1940,287.28695560437205,287.0961140680499,287.66059938363054
historical,1941,287.31318143841514,287.0594469848914,287.64150096136865
historical,1942,287.2469018493077,286.8523732810836,287.743575976945
historical,1943,287.31939783398747,287.0841874110578,287.72921403462493
historical,1944,287.42745231205134,287.175489878688,287.8126242878754
historical,1945,287.4394441384108,287.22963230199815,287.8355907594525
historical,1946,287.3199575228582,287.11353724827524,287.71466920819216
historical,1947,287.2506715506927,287.01485908416635,287.6631743226065
historical,1948,287.3537886985386,287.01646067810674,287.786089514531
historical,1949,287.30857387950186,287.02422258920296,287.7921126999943
historical,1950,287.19083362063435,286.9270872972148,287.56866945227586
historical,1951,287.30136626566525,287.0346263471842,287.7514964198042
historical,1952,287.33332883448196,287.08847368662896,287.81206106584835
historical,1953,287.3266939450369,287.0790602353218,287.67706581122684
historical,1954,287.3742424975554,287.00789369995,287.75377734880425
historical,1955,287.3738976232135,287.0478471090459,287.87045465832006
historical,1956,287.24548089337003,286.94360291161803,287.62728743958456
historical,1957,287.2516400845853,287.05835488491834,287.54416214523366
historical,1958,287.2551880552906,287.02734486556716,287.6536622742003
historical,1959,287.3200744339572,287.11716491551874,287.66851802174284
historical,1960,287.27734606229797,287.14927534543114,287.5013282596898
historical,1961,287.3698717437339,287.1380300371254,287.66293700500916
historical,1962,287.41383041582293,287.06091388941405,287.81647138391264
historical,1963,287.32680069492426,286.8558731684163,287.84466733199645
historical,1964,287.15385361173367,286.77889914492675,287.500623696181
historical,1965,287.1918605344269,286.77279660881067,287.6181513474367
historical,1966,287.1918824503521,286.7608744001636,287.6671382990302
historical,1967,287.08661960390685,286.8462119948319,287.3724912908545
historical,1968,287.3007983378365,287.0207730995889,287.58052517746097
historical,1969,287.4164447498529,287.0232296320376,287.7853557863793
historical,1970,287.3664213169232,286.9584577905004,287.7764228159087
historical,1971,287.2249240114598,286.92673527227686,287.6502774033803
historical,1972,287.2851146899056,287.0213930611024,287.664177893021
historical,1973,287.3481643261203,287.1142603789655,287.7717499587067
historical,1974,287.30510413309474,286.9670077753703,287.69587864919316
historical,1975,287.2259468407372,286.9505284407319,287.6306765762291
historical,1976,287.3244128223509,287.04347622495015,287.65380139467993
historical,1977,287.40288627052547,287.0592034466871,287.7725573511699
historical,1978,287.2965997207122,287.05057754242875,287.7064546406979
historical,1979,287.462646357334,287.19074069001834,287.8198173047184
historical,1980,287.42041319088,287.04790357854654,287.9069993003603
historical,1981,287.4324088350691,287.1176748208932,287.7950393984343
historical,1982,287.34887667781373,287.06962027300534,287.69959122567667
historical,1983,287.35122725327346,286.984005233072,287.7818450078351
historical,1984,287.4169469219324,287.111487076062,287.83411305701793
historical,1985,287.411103381975,287.20908041506044,287.66676255479143
historical,1986,287.49251087725975,287.33400210934605,287.74299435748327
historical,1987,287.45018982008827,287.06572298607665,287.7815656414006
historical,1988,287.4314085263091,287.0700430841491,287.8504644794129
historical,1989,287.5691012968245,287.2366068853237,287.86171612393827
